"agency_cd"	"site_no"	"station_nm"	"site_tp_cd"	"lat_va"	"long_va"	"dec_lat_va"	"dec_long_va"	"coord_meth_cd"	"coord_acy_cd"	"coord_datum_cd"	"dec_coord_datum_cd"	"district_cd"	"state_cd"	"county_cd"	"country_cd"	"land_net_ds"	"map_nm"	"map_scale_fc"	"alt_va"	"alt_meth_cd"	"alt_acy_va"	"alt_datum_cd"	"huc_cd"	"basin_cd"	"topo_cd"	"instruments_cd"	"construction_dt"	"inventory_dt"	"drain_area_va"	"contrib_drain_area_va"	"tz_cd"	"local_time_fg"	"reliability_cd"	"gw_file_cd"	"nat_aqfr_cd"	"aqfr_cd"	"aqfr_type_cd"	"well_depth_va"	"hole_depth_va"	"depth_src_cd"	"project_no"	"coords.x1"	"coords.x2"	"optional"
"1"	"USGS"	"02379500"	"CARTECAY RIVER NEAR ELLIJAY, GA"	"ST"	344103	842731	34.68425248	-84.4585376	"M"	"U"	"NAD27"	"NAD83"	"13"	"13"	"123"	"US"	NA	"ELLIJAY, GA"	"  24000"	1255.39	"L"	0.01	"NGVD29"	"03150102"	NA	NA	"NNNNYNYNNNYNNYNNNNNNNNNNNNNNNN"	NA	NA	134	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.4585376	34.68425248	TRUE
"2"	"USGS"	"02380000"	"ELLIJAY RIVER AT ELLIJAY, GA"	"ST"	344133	842845	34.69258547	-84.4790941	"M"	"S"	"NAD27"	"NAD83"	"13"	"13"	"123"	"US"	NA	"ELLIJAY, GA"	"  24000"	1242.32	"L"	0.01	"NGVD29"	"03150102"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	92.1	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	"CS-5"	-84.4790941	34.69258547	TRUE
"3"	"USGS"	"02380500"	"COOSAWATTEE RIVER NEAR ELLIJAY, GA"	"ST"	344030	843031	34.67508566	-84.5085398	"M"	"S"	"NAD27"	"NAD83"	"13"	"13"	"123"	"US"	NA	"WEBB"	NA	1216	"F"	0.1	"NAVD88"	"03150102"	NA	NA	"YNNNYNNNNNYNNYNNNNNNNNNNNNNNNN"	NA	NA	236	236	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	"CS-7"	-84.5085398	34.67508566	TRUE
"4"	"USGS"	"02382000"	"SCARECORN CREEK AT HINTON, GA"	"ST"	342833.8	843527.81	34.47614535	-84.59098919	"M"	"U"	"NAD27"	"NAD83"	"13"	"13"	"227"	"US"	NA	"LUDVILLE, GA"	"  24000"	1051.3	"L"	0.01	"NGVD29"	"03150102"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	21.3	21.3	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	"CS-16"	-84.59098919	34.47614535	TRUE
"5"	"USGS"	"02382500"	"COOSAWATTEE RIVER AT CARTERS, GA"	"ST"	343613	844144	34.60369697	-84.6954905	"M"	"S"	"NAD27"	"NAD83"	"13"	"13"	"213"	"US"	NA	"OAKMAN"	NA	650.6	"F"	0.1	"NAVD88"	"03150102"	NA	NA	"YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN"	NA	NA	521	521	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	"CS-18"	-84.6954905	34.60369697	TRUE
"6"	"USGS"	"02383000"	"ROCK CREEK NEAR FAIRMOUNT, GA"	"ST"	342132	844646	34.3589809	-84.7793817	"M"	"U"	"NAD27"	"NAD83"	"13"	"13"	"015"	"US"	NA	"WHITE WEST, GA"	"  24000"	758.96	"L"	0.01	"NGVD29"	"03150102"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	6.17	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.7793817	34.3589809	TRUE
"7"	"USGS"	"02383500"	"COOSAWATTEE RIVER NEAR PINE CHAPEL, GA"	"ST"	343351	844959	34.56416667	-84.8330556	"M"	"S"	"NAD83"	"NAD83"	"13"	"13"	"129"	"US"	NA	"RED BUD"	NA	616.16	"L"	0.01	"NGVD29"	"03150102"	NA	NA	"YNNNYNNNNNYNNYNNNNNNNNNNNNNNNN"	NA	NA	831	831	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	"CS-31"	-84.8330556	34.56416667	TRUE
"8"	"USGS"	"02385500"	"MILL CREEK AT DALTON, GA"	"ST"	344718	845830	34.78841288	-84.9749453	"M"	"U"	"NAD27"	"NAD83"	"13"	"13"	"313"	"US"	NA	"DALTON NORTH, GA"	"  24000"	695.38	"L"	0.01	"NGVD29"	"03150101"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	40	40	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	"CS-43"	-84.9749453	34.78841288	TRUE
"9"	"USGS"	"02385800"	"HOLLY CREEK NEAR CHATSWORTH, GA"	"ST"	344300	844612	34.71666667	-84.77	"M"	"S"	"NAD83"	"NAD83"	"13"	"13"	"213"	"US"	NA	"CALHOUN N.E."	NA	689.25	"L"	0.01	"NGVD29"	"03150101"	NA	NA	"YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN"	NA	NA	64	64	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	"CS-48A"	-84.77	34.71666667	TRUE
"10"	"USGS"	"02387000"	"CONASAUGA RIVER AT TILTON, GA"	"ST"	344000	845542	34.6667494	-84.9282765	"M"	"S"	"NAD27"	"NAD83"	"13"	"13"	"313"	"US"	NA	"DALTON SOUTH"	NA	622.28	"L"	0.01	"NGVD29"	"03150101"	NA	NA	"YNNNYNNNNNYNNYNNNNNNNNNNNNNNNN"	NA	NA	687	687	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	"CS-53"	-84.9282765	34.6667494	TRUE
"11"	"USGS"	"02387500"	"OOSTANAULA RIVER AT RESACA, GA"	"ST"	343437.6	845630.67	34.5771111	-84.9418528	"M"	"S"	"NAD83"	"NAD83"	"13"	"13"	"129"	"US"	NA	"CALHOUN NORTH"	NA	604.14	"L"	0.01	"NGVD29"	"03150103"	NA	NA	"YNNNYNNNNNYNNYNNNNNNNNNNNNNNNN"	NA	NA	1602	1602	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	"CS-57"	-84.9418528	34.5771111	TRUE
"12"	"USGS"	"02388000"	"WEST ARMUCHEE CREEK NEAR SUBLIGNA, GA"	"ST"	343403.6	850937.27	34.56775107	-85.1603035	"M"	"U"	"NAD27"	"NAD83"	"13"	"13"	"055"	"US"	NA	"SUBLIGNA, GA"	"  24000"	710	"M"	10	"NGVD29"	"03150103"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	36.4	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-85.1603035	34.56775107	TRUE
"13"	"USGS"	"02398000"	"CHATTOOGA RIVER AT SUMMERVILLE, GA"	"ST"	342759	852010	34.46638889	-85.3361111	"M"	"U"	"NAD83"	"NAD83"	"13"	"13"	"055"	"US"	NA	"SUMMERVILLE, GA"	"  24000"	613.47	"L"	0.01	"NGVD29"	"03150105"	NA	NA	"YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN"	NA	NA	192	192	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-85.3361111	34.46638889	TRUE
"14"	"USGS"	"03161000"	"SOUTH FORK NEW RIVER NEAR JEFFERSON, NC"	"ST"	362336	812425	36.3933333	-81.4069444	"G"	"S"	"NAD83"	"NAD83"	"37"	"37"	"009"	"US"	NA	"JEFFERSON, NC"	NA	2657.04	"R"	0.01	"NGVD29"	"05050001"	"11"	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	205	NA	"EST"	"Y"	NA	"NYNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-81.4069444	36.3933333	TRUE
"15"	"USGS"	"03162500"	"NORTH FORK NEW RIVER AT CRUMPLER, NC"	"ST"	363015	812324	36.50416667	-81.39	"G"	"S"	"NAD83"	"NAD83"	"37"	"37"	"009"	"US"	NA	NA	NA	2518.81	"M"	1	"NGVD29"	"05050001"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	277	NA	"EST"	"Y"	NA	"NYNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-81.39	36.50416667	TRUE
